Term,Pronunciation,Context / Example Usage,Notes,Tags
abstraction,,,,Common-term
abstractions,,,,
acyclic,,,,Common-term
adjoint,,,,theory
adjunction,,,,Common-term
algebra,,,,
algebraic datatype,,,,Common-term
algebraic effects,,,,
algebraic ornamentation,,,,
algebras,,,,
algorithmic,,,,Common-term
alias,,,,
aliasing,,,,
allocations,,,,Common-term
amortized,,amortized analyses,,Common-term
angelic ,,,,
antimonotonic,,,,Common-term
antimonotonicity,,,,Common-term
applicative,,,,Common-term
applicative functor,,,,
array,,,,Common-term
array,,,,
asymptotic,,,,Common-term
async/await,,,,
atomic,,,,
atomicity,,,,Common-term
autarkic style,,,,
automata,,,,Common-term
automaton,,,,Common-term
axiom,,,,
axiomatic,,,,
axioms,,,,
backtrack,,,,Common-term
backtracking,,,,Common-term
beta redex,,,,Common-term evaluation
beta-normalizable,,,,Common-term
beta-reduction,,,,Common-term evaluation
beta-steps,,,,Common-term evaluation
bi-directional type checker,,,,
bi-expressibility,,,,
bidirectional,,,,
binder,like in bind,,,
binding variables,,,,
bisimilar,,,,Common-term equivalence
bisimilarity,,Notion of equivalence between programs,,Common-term equivalence
bisimulation,,,,Common-term equivalence
boilerplate,,,,
borrows,,,,
bypass,,,,
calculus,,Used to describe a core simple programming language,,Common-term
calculus,,,,Common-term
call by name,,,call-by-name as adjective,
